Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,185,12,P:System.CommandLine.Command.Handler,,,,,"commandRecoveryManagerResolveMappingIssues.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandResolveMappingIssues);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,P:System.CommandLine.Option.IsRequired,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,P:System.CommandLine.Option.IsRequired,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,P:System.CommandLine.Option.AllowMultipleArgumentsPerToken,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,P:System.CommandLine.ArgumentArity.OneOrMore,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,173,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"Command commandRecoveryManagerResolveMappingIssues = new Command(""resolve-mapping-issues"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  },                  new Option<string>(new []{""--resolution-type"", ""-y""}, ""The mapping difference resolution type. Supported options are 'KeepShardMapMapping' for global shard map (GSM) and 'KeepShardMapping' for local shard map (LSM). It's recommended to use 'KeepShardMapping'."")                  {                      IsRequired = true,                  }              };"
